Artist,Tracks,Plays
AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),7
Alice in Chains,Man in the Box,7
Aperture Science Psychoacoustics Laboratory,Procedural Jiggle Bone,7
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #1,7
Beastie Boys,Sure Shot,7
Bryan Adams,Summer of '69,7
CoLD SToRAGE,Cairodrome,7
CoLD SToRAGE,Plasticity,7
Dio,Holy Diver,7
Hans Zimmer,A Little Push,7
Hans Zimmer,Agent of Chaos,7
Hans Zimmer,Fear Will Find You,7
Hans Zimmer,Introduce a Little Anarchy,7
Keiki Kobayashi,Zero,7
Ludwig Goransson,Speederbikes,7
Marco Beltrami and Buck Sanders,Le Mans 66,7
Martin O'Donnell &amp; Michael Salvatori,Halo Theme Mjolnir Mix,7
Matt Piersall,Into the Tunnels,7
Metallica,"Damage, Inc.",7
Michael McCann,Palisade Bank,7
Moby,Porcelain,7
Navie D,Sambafellas,7
Pink Floyd,Stop,7
Pink Floyd,Young Lust,7
Robert Prince,Demons on the Prey,7
Robert Prince,Donna to the Rescue,7
The Police,Murder By Numbers,7
The Smashing Pumpkins,Soma,7
&quot;Weird Al&quot; Yankovic,Callin 'In Sick,6
&quot;Weird Al&quot; Yankovic,Couch Potato,6
&quot;Weird Al&quot; Yankovic,Smells Like Nirvana,6
AC/DC,Shoot to Thrill,6
Beastie Boys,Brass Monkey,6
Beastie Boys,Fight for Your Right,6
